codigo_manzana,total_pob,cuenta_1,cuenta_2,cuenta_3,cuenta_4,cuenta_5,cuenta_6,cuenta_7,cuenta_8,cuenta_9,cuenta_10,cuenta_11,cuenta_12,cuenta_13,cuenta_14,cuenta_15,cuenta_16,cuenta_17,cuenta_18,cuenta_19,cuenta_20,cuenta_21,cantidad_casas,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000610000000000020107,78,5.0,6.0,6.0,11.0,9.0,5.0,2.0,3.0,5.0,9.0,5.0,4.0,1.0,1.0,5.0,1.0,,,,,,35,4.0,2.6,0.37,0.86
5000610000000000020109,20,,,2.0,3.0,1.0,4.0,,,4.0,,1.0,,4.0,1.0,,,,,,,,11,4.0,2.1,0.36,0.73
5000610000000000020110,54,4.0,3.0,2.0,9.0,7.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,19,3.0,1.6,0.16,0.89
5000610000000000020111,108,9.0,11.0,11.0,8.0,8.0,8.0,10.0,6.0,6.0,5.0,6.0,3.0,6.0,6.0,,5.0,,,,,,38,3.0,2.0,0.26,0.87
5000610000000000020112,132,11.0,11.0,5.0,16.0,15.0,13.0,6.0,7.0,9.0,4.0,10.0,6.0,6.0,2.0,5.0,4.0,2.0,,,,,50,3.0,2.1,0.38,0.92
5000610000000000020114,60,3.0,7.0,5.0,4.0,4.0,6.0,7.0,5.0,4.0,1.0,6.0,,3.0,,,4.0,,1.0,,,,21,3.0,2.1,0.05,0.86
5000610000000000020115,141,13.0,9.0,13.0,11.0,14.0,11.0,10.0,11.0,8.0,8.0,7.0,7.0,6.0,2.0,3.0,5.0,1.0,2.0,,,,60,3.0,2.0,0.25,0.77
5000610000000000020116,143,10.0,11.0,13.0,8.0,18.0,12.0,7.0,13.0,7.0,14.0,12.0,1.0,3.0,6.0,2.0,3.0,3.0,,,,,57,4.0,2.0,0.23,0.86
5000610000000000020117,131,19.0,11.0,12.0,9.0,14.0,13.0,10.0,8.0,10.0,11.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,,,,,45,3.0,1.6,0.13,0.89
5000610000000000020119,80,11.0,10.0,3.0,9.0,6.0,6.0,4.0,7.0,6.0,1.0,4.0,4.0,4.0,2.0,1.0,,1.0,1.0,,,,27,4.0,2.3,0.11,0.93
5000610000000000020120,98,4.0,10.0,5.0,8.0,12.0,8.0,4.0,6.0,9.0,9.0,5.0,6.0,3.0,5.0,2.0,1.0,,1.0,,,,36,4.0,2.8,0.58,0.92
5000610000000000020121,96,12.0,5.0,10.0,7.0,10.0,9.0,10.0,4.0,10.0,2.0,4.0,3.0,5.0,4.0,,1.0,,,,,,28,3.0,1.7,0.29,0.96
5000610000000000020122,33,,2.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,,3.0,1.0,3.0,6.0,1.0,2.0,,,,,,14,3.0,2.0,0.14,0.64
5000610000000000020202,65,2.0,1.0,6.0,8.0,5.0,1.0,6.0,3.0,5.0,6.0,5.0,7.0,3.0,2.0,2.0,,,2.0,1.0,,,30,4.0,2.8,0.47,0.83
